City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,Kasempa,ZM,71.8,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
298,Galesong,ID,73.42,moderate rain,-5.3166,119.3661,Sapriadi Appy
299,Acarau,BR,76.35,overcast clouds,-2.8856,-40.12,castelo pizzaria
300,Cabo San Lucas,MX,73.62,clear sky,22.8909,-109.9124,Vista Roof Restaurant
301,Dolinsk,RU,41.07,light rain,47.35,142.8,"Gostinitsa ""Yubileynaya"""
302,Laguna,US,65.01,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
303,Fuyu,CN,59.97,moderate rain,45.1833,124.8167,Education Hostel
304,Katsuura,JP,64.71,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
305,Ribeira Grande,PT,66.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
306,Chuy,UY,48.43,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
307,Vitre,FR,78.01,clear sky,48.1178,-1.2058,ibis Vitré Centre
308,Gornopravdinsk,RU,45.16,overcast clouds,60.05,69.9,Hostel
309,Boa Vista,BR,75.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
310,San Angelo,US,66.6,clear sky,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
312,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
314,Kota Belud,MY,81.37,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
315,Bentong,MY,85.82,overcast clouds,3.5181,101.9079,Tras Mutiara Hotel Bentong
316,Rtishchevo,RU,69.44,overcast clouds,52.2604,43.7874,Inn on 50 Let Oktyabrya 19
317,Cherbourg,FR,62.31,overcast clouds,49.6386,-1.6147,Hôtel Le Louvre Cherbourg
318,Husavik,IS,42.04,broken clouds,66.0449,-17.3389,Bjarnabúð
319,Acapulco,MX,75.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
321,Port Lincoln,AU,56.77,clear sky,-34.7333,135.8667,Port Lincoln Hotel
322,Alice Springs,AU,56.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
323,Jiwani,PK,87.71,clear sky,25.05,61.7417,Hamza hotel jiwani
324,Bandundu,CD,88.47,broken clouds,-3.3167,17.3667,Coja Color
325,Boca Do Acre,BR,70.93,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
326,Kulhudhuffushi,MV,82.51,broken clouds,6.6221,73.07,Haajy Guest House 1
327,Bud,US,60.15,clear sky,39.446999999999996,-86.1758,Ted McQuinn Trust
328,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
330,Kahama,TZ,79.93,broken clouds,-3.8333,32.6,Kahama Gold Hotel
332,San Cristobal,VE,66.38,overcast clouds,7.7669,-72.225,Pirineos
333,Panacan,PH,82.76,scattered clouds,9.2463,118.4082,Mom's Place Resort
334,Poso,ID,78.78,moderate rain,-1.3959,120.7524,Hotel 77 Poso
335,Sterlibashevo,RU,68.11,overcast clouds,53.4376,55.2578,"Okhotnich'ye Khozyaystvo ""Bober"""
336,Amasya,TR,83.88,clear sky,40.6667,35.8333,Lalehan Hotel
337,Murud,IN,88.56,scattered clouds,18.3258,72.965,On Point Plaza
338,Juneau,US,58.21,few clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
339,Nola,IT,96.15,scattered clouds,40.922,14.5329,Palazzo Giordano Bruno
340,Poronaysk,RU,43.38,broken clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
341,Namibe,AO,93.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
342,Kenai,US,53.65,scattered clouds,60.5544,-151.2583,Aspen Extended Stay Suites
343,Morgan City,US,72.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
345,Mandalgovi,MN,61.34,clear sky,45.7625,106.2708,В.Ганбат
348,Vallenar,CL,53.22,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
350,Inuvik,CA,31.06,light shower snow,68.3499,-133.7218,Nova Inn Inuvik
351,Great Falls,US,52.68,scattered clouds,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
355,Kavaratti,IN,83.8,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
356,Vila,PT,57.7,few clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
357,Port Blair,IN,78.84,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
358,Capelinha,BR,61.81,overcast clouds,-17.6914,-42.5158,Marinho Plaza Hotel
359,Dzaoudzi,YT,85.89,few clouds,-12.7887,45.2699,Le Rocher
360,Camocim,BR,75.25,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
